Date,Open,High,Low,Close,Adj Close,Volume
2020-10-12,0.790000,0.790000,0.790000,0.790000,0.636962,0
2020-10-13,0.790000,0.790000,0.790000,0.790000,0.636962,0
2020-10-14,0.790000,0.790000,0.790000,0.790000,0.636962,0
2020-10-15,0.790000,0.790000,0.790000,0.790000,0.636962,0
2020-10-16,0.540000,0.540000,0.540000,0.540000,0.435392,100
2020-10-19,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-10-20,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-10-21,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-10-22,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-10-23,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-10-26,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-10-27,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-10-28,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-10-29,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-10-30,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-11-02,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-11-03,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-11-04,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-11-05,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-11-06,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-11-09,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-11-10,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-11-11,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-11-12,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-11-13,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-11-16,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-11-17,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-11-18,0.540000,0.540000,0.540000,0.540000,0.435392,0
2020-11-19,1.050000,1.050000,1.050000,1.050000,0.846595,700
2020-11-20,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-11-23,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-11-24,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-11-25,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-11-27,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-11-30,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-01,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-02,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-03,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-04,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-07,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-08,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-09,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-10,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-11,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-14,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-15,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-16,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-17,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-18,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-21,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-22,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-23,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-24,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-28,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-29,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-30,1.050000,1.050000,1.050000,1.050000,0.846595,0
2020-12-31,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-04,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-05,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-06,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-07,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-08,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-11,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-12,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-13,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-14,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-15,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-19,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-20,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-21,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-22,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-25,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-26,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-27,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-28,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-01-29,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-02-01,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-02-02,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-02-03,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-02-04,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-02-05,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-02-08,1.050000,1.050000,1.050000,1.050000,0.846595,0
2021-02-09,1.050000,1.050000,1.050000,1.050000,0.846595,0
